tweet,Mind reading,Labelling,Fortune telling,Overgeneralising,Emotional Reasoning,Personalising,Shoulds and Musts,words count,polarity,subjectivity,Depressed
combination of stress and not getting any joy for the way i live my life,0.432,0.592,0.553,0.591,0.46,0.527,0.523,15,0.4681818181818182,0.35,1
learning to become my own best friend relearning how to love take care of me after years of doing the opposite,0.703,0.887,0.643,0.889,0.755,0.693,0.719,21,0.525,0.475,1
trying to keep it together while my brother s untreated unacknowledged depression may well end his life far too soon,0.578,0.695,0.488,0.586,0.533,0.564,0.569,20,0.1,1.0,1
this hashtag is doing so much for me,0.728,0.764,0.681,0.73,0.698,0.53,0.653,8,0.2,0.2,1
the biggest smile with the saddest eyes too closed up to let others know how tired i am of fighting to stay alive,0.581,0.719,0.612,0.616,0.575,0.608,0.749,23,-0.02500000000000001,0.32499999999999996,1
play skyrim again and again,0.894,0.988,0.8,0.825,0.969,0.705,0.769,5,0.0,0.0,1
this when i need help but at the same time just want to be left alone,0.46,0.67,0.579,0.629,0.49,0.641,0.461,16,0.0,0.0625,1
keeping myself locked in mentally and emotionally then getting mad when ppl stop asking whats wrong,0.502,0.744,0.683,0.565,0.456,0.56,0.581,16,-0.30625,0.6875,1
knowing exactly what is wrong with my life and not being physically mentally able to fix it,0.426,0.543,0.461,0.42,0.423,0.5,0.507,17,0.08333333333333333,0.5916666666666667,1
sleeping is literally the most exciting thing ever,0.835,0.677,0.711,0.722,0.604,0.619,0.86,8,0.4,0.65,1
the wildest most harmful sleep patterns imaginable,0.571,0.462,0.527,0.514,0.486,0.376,0.789,7,0.5,0.5,1
even my biggest wins feeling like ls,0.799,0.789,0.756,0.728,0.785,0.644,0.674,7,0.3,0.2,1
anger at the thought of having to forgive those who have hurt me they do not deserve forgiveness for what they have done,0.34,0.591,0.608,0.566,0.368,0.382,0.477,23,-0.7,0.2,1
at my very best still being totally unmotivated and stuck in situations that drain and hurt me,0.673,0.503,0.499,0.476,0.666,0.64,0.58,17,0.5,0.5700000000000001,1
needing the television to be on in order for me to not feel lonely the very minute i am alone,0.611,0.808,0.744,0.801,0.58,0.707,0.643,20,0.05000000000000002,0.5,1
marijuana actually saving me from how dangerously and deeply i am hurting in my brain on multiple occasions,0.695,0.743,0.738,0.733,0.704,0.836,0.73,18,-0.15,0.35,1
humor that is at least 98 self deprecating,0.597,0.566,0.552,0.747,0.703,0.713,0.822,8,-0.3,0.4,1
every single day re conqueroring my own mind body heart and that is empowering,0.793,0.836,0.618,0.675,0.785,0.488,0.521,14,0.2642857142857143,0.6071428571428571,1
forcing myself to carry on with my responsibilities even though am dying inside and want to sleep for days,0.705,0.803,0.552,0.646,0.531,0.648,0.592,19,0.0,0.0,1
living my life because sometimes that is all my life has become also hating myself for being depressed,0.42,0.615,0.619,0.55,0.384,0.395,0.517,18,0.0,0.0,1
a mask for my anxiety and past but someone peaking around to heal and move on,0.578,0.691,0.691,0.632,0.632,0.692,0.436,16,-0.25,0.25,1
am perfectly fine but smiles have the power of locking the truth away,0.604,0.688,0.669,0.679,0.761,0.745,0.623,13,0.4166666666666667,0.5,1
smiling laughing and making sure to please those around me when i really just want to sit down and ugly cry,0.503,0.684,0.48,0.692,0.538,0.589,0.692,21,-0.03888888888888889,0.5944444444444444,1
well is not this just exactly it,0.782,0.68,0.732,0.702,0.891,0.682,0.631,7,0.25,0.25,1
day long panic attacks followed by days of just being sad and terrible headaches,0.553,0.629,0.588,0.548,0.45,0.514,0.751,14,-0.5166666666666667,0.7999999999999999,1
lying in my bed for hours wanting no one to bother me then getting upset when nobody does,0.534,0.802,0.584,0.694,0.424,0.619,0.736,18,0.0,0.0,1
me listening and taking care of everyone else s problems but not telling anyone mine out of fear of judgement,0.477,0.773,0.768,0.565,0.496,0.646,0.488,20,0.0,0.0,1
raises awareness of the disease,0.88,0.847,0.817,0.847,0.69,0.676,0.682,5,0.0,0.0,1
it is all in the eyes,0.737,0.799,0.749,0.703,0.864,0.576,0.633,6,0.0,0.0,1
being too afraid to do simple tasks fearing that someone will be quick to judge and apologizing for everything i do,0.401,0.576,0.556,0.412,0.423,0.505,0.542,21,-0.08888888888888889,0.5857142857142857,1
a messy bedroom clothes not hung and dirty dishes,0.714,0.647,0.741,0.643,0.629,0.745,0.704,9,-0.4,0.6000000000000001,1
seeking validation without wanting to ask crying for no reason hating the meds non stop exercise self hatred,0.481,0.658,0.686,0.669,0.507,0.555,0.66,18,-0.2,0.6,1
feeling guilty and ungrateful because there is people that have it so much worse,0.459,0.469,0.492,0.576,0.289,0.469,0.617,14,-0.45,0.8,1
being ok throughout the day up until the point when im left alone with just my thoughts and nothing to distract me,0.584,0.642,0.528,0.431,0.738,0.608,0.698,22,0.25,0.25,1
laziness apathy and social isolation,0.462,0.459,0.506,0.394,0.418,0.627,0.728,5,0.03333333333333333,0.06666666666666667,1
not being able to focus on anything anymore,0.52,0.507,0.622,0.485,0.597,0.65,0.694,8,0.5,0.625,1
a strong confident organized woman who bursts into tears at night from the stress,0.648,0.516,0.676,0.625,0.535,0.561,0.722,14,0.4666666666666667,0.7833333333333333,1
7 medications a day,0.897,0.901,0.853,0.799,0.916,0.898,0.827,4,0.0,0.0,1
taking regular naps because i do not want to face reality anymore but am not brave enough to end it permanently,0.51,0.797,0.603,0.658,0.333,0.676,0.573,21,-0.13333333333333333,0.5256410256410257,1
the one who always says yes and wants to help and give because she can not give and help herself,0.523,0.746,0.619,0.696,0.704,0.683,0.568,20,0.2,0.1,1
hating myself and wishing i did not have to wake up every morning,0.408,0.661,0.619,0.475,0.452,0.547,0.583,13,0.0,0.0,1
pushing my friends away bc i want to be alone,0.525,0.672,0.49,0.44,0.602,0.629,0.658,10,0.0,0.0,1
wanting to reach out but being too scared of how people will react if i do,0.457,0.682,0.559,0.564,0.347,0.732,0.47,16,0.0,0.0,1
i want to go out but am afraid and get exhausted then go home and cry because i could not and am alone,0.471,0.665,0.516,0.505,0.401,0.504,0.603,23,-0.5,0.8,1
people thinking you are lazy when really you just do not have the energy to give a shit anymore,0.393,0.576,0.654,0.593,0.551,0.636,0.723,19,-0.08333333333333333,0.6666666666666666,1
me pretending am not depressed,0.597,0.705,0.764,0.705,0.788,0.792,0.463,5,0.0,0.0,1
looking for validation on the internet to know that i am not the only one struggling with what am struggling with,0.707,0.744,0.752,0.704,0.734,0.703,0.662,21,0.0,1.0,1
feeling like asking for help or telling people about what am struggling with is a cop out,0.531,0.625,0.611,0.626,0.532,0.677,0.556,17,0.0,0.0,1
being happy to help others become who they are and cheer them on but not knowing who i actually am,0.548,0.722,0.562,0.798,0.628,0.681,0.547,20,0.4,0.55,1
being able to help people give advice to them when they need it but when i need someone everyone is suddenly gone,0.545,0.766,0.701,0.68,0.679,0.675,0.568,22,0.25,0.5625,1
continuing to smile and act as if am happy on the outside when really am dying on the inside,0.603,0.754,0.589,0.727,0.714,0.753,0.696,19,0.325,0.3375,1
telling people to love themselves and to seek for help because i sure as hell do not,0.422,0.679,0.498,0.667,0.575,0.629,0.587,17,0.5,0.7444444444444445,1
not knowing what is depression,0.528,0.665,0.606,0.636,0.48,0.709,0.77,5,0.0,0.0,1
hey quick question can we stop the hashtag because it is making me very sad i want u all 2 b happy,0.509,0.669,0.507,0.58,0.437,0.449,0.805,22,0.16111111111111112,0.8333333333333334,1
needing constant reminders why i should even exist,0.68,0.774,0.604,0.622,0.687,0.683,0.517,8,0.0,0.3333333333333333,1
pouring as much energy you can muster into simple tasks like getting out of bed and still feeling empty,0.769,0.739,0.751,0.701,0.594,0.739,0.763,19,0.03333333333333333,0.3523809523809524,1
my doctor telling me i could not have bipolar and not testing me b c it would have been diagnosed earlier,0.625,0.895,0.744,0.765,0.62,0.599,0.692,21,0.0,0.5,1
thinking that barely sleeping for 3 days blasting through piles of work before crashing for a week is normal,0.837,0.913,0.834,0.766,0.747,0.621,0.826,19,0.1,0.37499999999999994,1
having it be forced into 140 words and a hashtag trying to convince people to take it seriously,0.653,0.814,0.809,0.695,0.734,0.839,0.647,18,-0.31666666666666665,0.43333333333333335,1
loving things too much my husband holding me as i cry myself to sleep and learning that am not alone,0.708,0.79,0.702,0.813,0.662,0.662,0.718,20,0.4,0.575,1
wanting to achieve so much in life but not able to understand what is the purpose of achieving after troubling urself,0.577,0.732,0.662,0.668,0.535,0.674,0.394,21,-0.024999999999999994,0.4125,1
cada d a que pasa siento como todo se va a la mierda,0.86,0.844,0.745,0.827,0.904,0.801,0.689,13,0.0,0.0,1
crying at 2am and waking up my boyfriend to ask if he loves me although he tells me at least 30 times a day,0.684,0.831,0.783,0.744,0.681,0.542,0.89,24,-0.25,0.5,1
being mentally exhausted but still getting up because will feel worse if i stay in bed all day,0.599,0.772,0.68,0.636,0.447,0.541,0.627,18,-0.4,0.6499999999999999,1
these tweets hurt my heart but they are so true it goes beyond being sad,0.432,0.6,0.604,0.68,0.562,0.591,0.53,15,-0.07500000000000001,0.825,1
feeling rejected virtually all the time,0.512,0.467,0.498,0.438,0.486,0.558,0.766,6,0.0,0.0,1
am perfectly fine is what it looks like,0.853,0.595,0.521,0.557,0.928,0.668,0.46,8,0.4166666666666667,0.5,1
giving my own toilet an upper decker,0.958,0.852,0.868,0.953,0.975,0.787,0.812,7,0.18888888888888888,0.3333333333333333,1
knowing things need done around the house but being so overwhelmed that i do not know where to start so i do not,0.657,0.726,0.713,0.56,0.536,0.602,0.499,23,0.0,0.0,1
having progress with things and thinking am finally happy again then it crashes down and am back to the beginning,0.692,0.727,0.599,0.721,0.688,0.517,0.589,20,0.21481481481481482,0.42962962962962964,1
never making plans because i know no one would show isolating myself to protect myself and others from myself,0.561,0.687,0.438,0.554,0.545,0.593,0.502,19,0.0,0.0,1
it is slowly dwindling,0.503,0.491,0.589,0.523,0.704,0.712,0.779,4,-0.30000000000000004,0.39999999999999997,1
azure ray november,0.955,0.94,0.934,0.914,1,0.946,0.9,3,0.0,0.0,1
isolation drinking failing studies not showering not eating disappointing my black family lying and smiling,0.576,0.793,0.709,0.681,0.63,0.539,0.741,15,-0.3833333333333333,0.5666666666666667,1
a black hole into which all thoughts ideas goals plans and dreams get obliterated isolation panic self harm,0.722,0.813,0.735,0.672,0.711,0.733,0.818,18,-0.16666666666666666,0.43333333333333335,1
disgusting purple self harm scars,0.705,0.665,0.814,0.716,0.63,0.715,0.737,5,-1.0,1.0,1
a smile to avoid the what is wrong questions,0.49,0.699,0.689,0.792,0.708,0.732,0.469,9,-0.1,0.5,1
protruding bones because it hurts too much to nourish a body that is going to die anyway,0.682,0.72,0.634,0.695,0.63,0.64,0.683,17,0.2,0.2,1
blades alcohol drugs and my bed in the darkness with nothing but my thoughts slowly killing me hoping they will,0.648,0.876,0.759,0.716,0.59,0.707,0.799,20,-0.30000000000000004,0.39999999999999997,1
glassy eyes and one word or silent responses because am dissociating and can not move or speak,0.563,0.498,0.567,0.469,0.621,0.572,0.78,17,0.0,0.1,1
sweating in warm weather to spare everyone the appearance of scars,0.806,0.803,0.742,0.836,0.837,0.847,0.691,11,0.6,0.6,1
nothing to the average person since i never speak up about it and instead help others instead of helping myself,0.547,0.674,0.747,0.544,0.609,0.639,0.675,20,-0.15,0.39999999999999997,1
disorientation being my most common state of being,0.626,0.424,0.675,0.585,0.552,0.558,0.685,8,0.1,0.5,1
constantly being tired and not caring about my life while beating myself up for that and spiraling deeper downwards,0.438,0.625,0.562,0.52,0.407,0.497,0.623,19,-0.2,0.5166666666666666,1
bad skin huge under eye bags weakness pain and irritability from no sleep,0.562,0.527,0.579,0.537,0.431,0.51,0.627,13,-0.14999999999999988,0.7833333333333333,1
feeling like those who really care about me do not,0.469,0.583,0.615,0.565,0.595,0.643,0.529,10,0.2,0.2,1
a happy social media profile while secretly my heart is broken and have gained 10 pounds,0.743,0.663,0.639,0.766,0.728,0.762,0.746,16,0.008333333333333331,0.5416666666666666,1
sabotaging the little happiness i may have in my life while worrying about all the things that are missing,0.542,0.645,0.629,0.712,0.578,0.684,0.54,19,0.10416666666666664,0.25,1
ignoring my pain and constantly questioning why am depressed cuz other people have it much worse than i do,0.335,0.578,0.684,0.575,0.436,0.521,0.597,19,-0.17500000000000002,0.43611111111111106,1
either feeling nothing or all the pain in the world at any given time,0.576,0.554,0.623,0.496,0.533,0.465,0.838,14,0.0,0.0,1
emotional atrophy to the point of not feeling anything at all except for disappointment,0.504,0.487,0.522,0.438,0.429,0.526,0.771,14,-0.3,0.525,1
i randomly will stay feeling the weight of the world on my shoulders even if i was just handed a reason to be happy,0.743,0.755,0.531,0.669,0.719,0.715,0.64,24,0.15000000000000002,0.75,1
me seeming to not appreciate my friends but i really do care about things i just can not express it without hurting,0.378,0.621,0.685,0.549,0.472,0.608,0.43,22,0.2,0.2,1
being in my room with the lights off and pretending i do not exist,0.608,0.677,0.635,0.705,0.483,0.692,0.854,14,0.0,0.0,1
trying to be productive but watching five hours of nextflix in bed just so my mind turns off,0.625,0.8,0.738,0.737,0.522,0.677,0.788,18,0.0,0.0,1
can i be happy still be depressed,0.519,0.691,0.72,0.647,0.618,0.663,0.743,7,0.8,1.0,1
tag is v important for everyone to understand that not everyone goes through the same form of depression is valid,0.472,0.67,0.723,0.662,0.563,0.673,0.537,20,0.2,0.5625,1
a personality flaw it drove away my friends as they think have changed and am no fun now to them it is my fault,0.297,0.484,0.459,0.46,0.337,0.43,0.61,24,-0.15,0.2,1
not being able to make it out of the house the entire weekend because leaving bed is an impossible feat,0.741,0.808,0.606,0.683,0.501,0.443,0.782,20,-0.055555555555555546,0.75,1
my desperately crying out for help but having no one hear me because my depression is invisible and so am i,0.41,0.633,0.585,0.529,0.409,0.501,0.65,21,-0.2,0.6,1
mydepressionlookslike hating people who act like depression does not exist yet mourn suicide,0.554,0.762,0.675,0.612,0.548,0.453,0.793,13,0.0,0.0,1
pressing the self destruct button on relationships because i can not figure out a way to sustain them,0.552,0.776,0.543,0.596,0.525,0.468,0.644,18,0.0,0.0,1
telling people some of my history and then worrying have said far too much,0.513,0.688,0.681,0.449,0.435,0.559,0.544,14,0.15000000000000002,0.6,1
wanting so desperately to talk to someone in hopes they can help but afraid they will just push away,0.447,0.756,0.605,0.649,0.522,0.679,0.493,19,-0.6,0.95,1
being the loudest and most bombastic person in the room while actually trying to hold back tears,0.571,0.618,0.622,0.549,0.593,0.591,0.661,17,0.16666666666666666,0.19999999999999998,1
feeling eternally unloveable and hopeless,0.624,0.339,0.461,0.341,0.269,0.439,0.765,5,0.0,0.0,1
an emotional rollercoaster,0.823,0.726,0.724,0.736,0.68,0.804,0.799,3,0.0,0.65,1
reading some things on this hashtag and thinking wait that is not just normal,0.651,0.699,0.763,0.691,0.64,0.846,0.698,14,0.15,0.6499999999999999,1
feeling like running right out of my own body,0.738,0.67,0.601,0.61,0.787,0.771,0.718,9,0.44285714285714284,0.7678571428571428,1
am fine it is just a phase but it is not,0.612,0.574,0.695,0.538,0.745,0.809,0.558,11,0.4166666666666667,0.5,1
being afraid to enjoy rare happiness because am afraid that will invalidate my illness to others,0.521,0.689,0.564,0.706,0.532,0.611,0.55,16,0.040000000000000015,0.6799999999999999,1
well it sucks but it needs to be talked about so more people can beat it just to keep that little bit of hope,0.544,0.7,0.624,0.491,0.522,0.718,0.544,24,0.00416666666666667,0.43333333333333335,1
not talking about my feelings to the point where i do not feel them anymore,0.452,0.632,0.62,0.634,0.608,0.644,0.604,15,0.0,0.0,1
nothing because i make it invisible to others i struggle in silence to not burden others,0.498,0.696,0.654,0.538,0.627,0.615,0.411,16,0.0,0.0,1
finding myself unable to write code because the baseline anxiety of debugging is heightened enough to be unbearable,0.418,0.565,0.568,0.495,0.385,0.53,0.535,18,-0.25,0.5,1
sending snapchats like this after self harmful episodes to convince myself am gonna be okay,0.642,0.778,0.632,0.694,0.696,0.727,0.515,15,0.5,0.5,1
family thinks i am lazy by not wanting to get out of bed but sometimes i can not physically bring myself to do it,0.511,0.808,0.732,0.739,0.554,0.568,0.606,24,-0.125,0.5714285714285714,1
my rheumatoid arthritis symptoms fatigue sleeping too much not wanting to be a burden a bore withdrawing,0.633,0.77,0.732,0.751,0.541,0.67,0.674,17,0.2,0.2,1
wanting to be alone and not wanting to talk to anyone even my family,0.407,0.669,0.455,0.527,0.495,0.537,0.607,14,0.0,0.0,1
smiles feeling great sleeping all day perceptions of grandeur hopelessness resignation and crippling anxiety ito,0.729,0.753,0.702,0.734,0.665,0.738,0.822,15,0.8,0.75,1
i will not i can no longer live my life ashamed of my mental illness loving myself regardless,0.576,0.735,0.553,0.728,0.613,0.718,0.603,18,0.21212121212121213,0.5499999999999999,1
exhaustion immobility dreading the exhausting passage of time,0.625,0.658,0.507,0.577,0.508,0.563,0.669,8,-0.4,0.5,1
crying because i just saw a really beautiful waterfall,0.623,0.725,0.65,0.655,0.519,0.57,0.727,9,0.32499999999999996,0.8,1
losing interest in things even things i usually love,0.478,0.571,0.537,0.523,0.587,0.634,0.578,9,0.5,0.6,1
a serving size which is not a serving size,0.783,0.665,0.723,0.772,0.867,0.87,0.841,9,0.0,0.0,1
nirvana songs and cigarettes,0.844,0.836,0.905,0.948,0.99,0.912,0.896,4,0.0,0.0,1
wondering if am just lazy and making this up,0.417,0.545,0.709,0.557,0.585,0.627,0.67,9,-0.25,1.0,1
a fake but convincing smile for hours a day only to lay in bed exhausted every night and struggle to wake up,0.688,0.807,0.667,0.751,0.6,0.626,0.765,22,-0.020000000000000007,0.76,1
being constantly tired because putting on the mask of a responsible functional adult takes all of my energy,0.532,0.647,0.705,0.632,0.513,0.562,0.648,18,-0.03333333333333333,0.5166666666666667,1
telling my friends i love them while secretly wishing they would hear my nights i spend alone screaming,0.474,0.763,0.574,0.666,0.525,0.558,0.767,18,0.04999999999999999,0.6499999999999999,1
me wanting to forget that it exists or it will start hurting me again,0.375,0.643,0.416,0.432,0.411,0.54,0.542,14,0.0,0.0,1
having amazing social skills that am praised for because i spent my whole life pretending to be happy and sociable,0.73,0.803,0.624,0.827,0.756,0.651,0.668,20,0.3066666666666667,0.49333333333333335,1
smiles i feel forced to wear when my mind is screaming telling me you are not happy no matter what,0.503,0.705,0.439,0.632,0.563,0.697,0.704,20,-0.35000000000000003,0.6,1
my best friend telling me he would not like me if he met me for the first time today,0.425,0.695,0.474,0.564,0.567,0.485,0.651,19,0.625,0.31666666666666665,1
choosing to either be a downer or a fake in every social situation,0.665,0.695,0.618,0.672,0.756,0.797,0.798,13,-0.23333333333333334,0.5333333333333333,1
sometimes will tweet out what but for the most part you had never know unless you were paying attention i manage it,0.493,0.747,0.718,0.588,0.634,0.688,0.536,22,0.5,0.5,1
a petty goat moving invisible convincing everyone including me they dont exist then boom theyve fucked ur man,0.53,0.644,0.625,0.652,0.601,0.589,0.858,18,-0.04999999999999999,0.85,1
being so heavily exhausted that i can not even take care of myself or anyone anything else,0.636,0.596,0.611,0.554,0.499,0.588,0.693,17,-0.4,0.7,1
being unable to enjoy alone time because the inside of my head is too dark of a place,0.495,0.621,0.556,0.594,0.479,0.604,0.534,18,-0.08333333333333333,0.4666666666666666,1
feeling inadequate and unable to face the challenges of life and feeling weak because of it,0.363,0.508,0.457,0.442,0.337,0.531,0.627,16,-0.4375,0.5625,1
hiding the shadows of ghosts and demons that i never stop seeing behind a friendly joke and a false smile,0.638,0.787,0.643,0.84,0.748,0.785,0.708,20,-0.03125000000000003,0.475,1
and are great tags reminds you that you are not alone,0.789,0.751,0.781,0.787,0.727,0.549,0.502,11,0.8,0.75,1
learning to dissociate on command because it let us be get back home to my bed faster,0.773,0.896,0.7,0.738,0.643,0.74,0.573,17,0.0,0.0,1
fighting my mind so hard while smiling around those i love because they can not handle the words i want to die,0.414,0.698,0.541,0.534,0.514,0.48,0.645,22,0.10416666666666666,0.5708333333333333,1
twitter users share their emotional stories with hashtag abc news via,0.85,1,0.87,0.869,0.762,0.861,0.916,11,0.0,0.65,1
a gif of me endlessly climbing further down into a box marked dread and then back out via brambles then back in,0.897,0.89,0.747,0.691,0.839,0.684,0.712,22,-0.03009259259259259,0.35648148148148145,1
beating myself up for everything have done fucked up and how tempted will be to go back to my old ways,0.499,0.675,0.492,0.506,0.372,0.468,0.616,21,-0.16666666666666666,0.3,1
if do not wake up tomorrow nothing will ever change,0.787,0.879,0.428,0.712,0.758,0.678,0.498,10,0.0,0.0,1
my heart on a bungee cord on the worst days it touches the water and almost drown eventually it comes back up,0.709,0.815,0.694,0.687,0.669,0.679,0.707,22,-0.5,0.5,1
feeling disconnected from relationships and the world,0.518,0.674,0.539,0.675,0.568,0.72,0.692,7,0.0,0.0,1
not being able to find the energy to text call email anyone back,0.618,0.748,0.636,0.676,0.716,0.635,0.707,13,0.25,0.3125,1
a can of soup on 420,0.831,0.903,0.909,0.916,0.94,0.919,0.911,6,0.0,0.0,1
never feeling safe expressing how i feel because it is inconvenient to people or because others have it worse,0.337,0.525,0.52,0.47,0.44,0.55,0.436,19,-0.16666666666666666,0.7000000000000001,1
spending money because it is the only way to feel instant gratification,0.755,0.808,0.679,0.9,0.667,0.738,0.724,12,0.0,0.8333333333333333,1
